State_name,State_code,Year,Population,Sex,Median_household_income,Age_label,Age_group
Alabama,01,2021,14160,1,53913.0,77,76-84
Alabama,01,2022,13888,1,59674.0,77,76-84
Alabama,01,2023,14004,1,62212.0,77,76-84
Alabama,01,2021,14069,1,53913.0,78,76-84
Alabama,01,2022,13382,1,59674.0,78,76-84
Alabama,01,2023,13196,1,62212.0,78,76-84
Alabama,01,2021,11674,1,53913.0,79,76-84
Alabama,01,2022,13190,1,59674.0,79,76-84
Alabama,01,2023,12576,1,62212.0,79,76-84
Alabama,01,2021,10116,1,53913.0,80,76-84
Alabama,01,2022,10782,1,59674.0,80,76-84
Alabama,01,2023,12284,1,62212.0,80,76-84
Alabama,01,2021,9140,1,53913.0,81,76-84
Alabama,01,2022,9390,1,59674.0,81,76-84
Alabama,01,2023,10113,1,62212.0,81,76-84
Alabama,01,2021,8311,1,53913.0,82,76-84
Alabama,01,2022,8309,1,59674.0,82,76-84
Alabama,01,2023,8628,1,62212.0,82,76-84
Alabama,01,2021,7522,1,53913.0,83,76-84
Alabama,01,2022,7514,1,59674.0,83,76-84
Alabama,01,2023,7610,1,62212.0,83,76-84
Alabama,01,2021,6245,1,53913.0,84,76-84
Alabama,01,2022,6728,1,59674.0,84,76-84
Alabama,01,2023,6803,1,62212.0,84,76-84
Alabama,01,2021,29522,1,53913.0,85+,85+
Alabama,01,2022,30198,1,59674.0,85+,85+
Alabama,01,2023,31941,1,62212.0,85+,85+
Alabama,01,2021,2597468,2,53913.0,All ages,All ages
Alabama,01,2022,2610243,2,59674.0,All ages,All ages
Alabama,01,2023,2629215,2,62212.0,All ages,All ages
Alabama,01,2021,28003,2,53913.0,1,0-18
Alabama,01,2022,28253,2,59674.0,1,0-18
Alabama,01,2023,28614,2,62212.0,1,0-18
Alabama,01,2021,28675,2,53913.0,2,0-18
Alabama,01,2022,28313,2,59674.0,2,0-18
Alabama,01,2023,28706,2,62212.0,2,0-18
Alabama,01,2021,29474,2,53913.0,3,0-18
Alabama,01,2022,28925,2,59674.0,3,0-18
Alabama,01,2023,28742,2,62212.0,3,0-18
Alabama,01,2021,29746,2,53913.0,4,0-18
